Price,Close,High,Low,Open,Volume,50_MA,200_MA,Daily_Return
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX,,,
Date,,,,,,,,
2024-05-22,18705.19921875,18756.689453125,18606.16015625,18733.5390625,7277340000,18010.5168359375,,-0.00045963738743115545
2024-05-23,18623.390625,18907.5390625,18554.890625,18907.140625,7752800000,18021.615234375,,-0.00437357511103087
2024-05-24,18808.349609375,18851.990234375,18664.7890625,18669.359375,5836040000,18037.486015625,,0.009931541903369201
2024-05-28,18869.439453125,18875.19921875,18755.939453125,18855.150390625,6293380000,18058.7098046875,,0.0032480172380222605
2024-05-29,18736.75,18814.8203125,18706.619140625,18708.0703125,6652480000,18073.744609375,,-0.007031976411097096
2024-05-30,18538.66015625,18705.259765625,18487.759765625,18683.25,6659290000,18083.873828125,,-0.010572262732330806
2024-05-31,18536.650390625,18574.560546875,18189.779296875,18550.80078125,6674090000,18089.8046484375,,-0.00010840943240020273
2024-06-03,18600.970703125,18707.220703125,18392.5703125,18666.720703125,5422040000,18095.4164453125,,0.003469899423281575
2024-06-04,18654.83984375,18697.94921875,18521.849609375,18598.0,4917350000,18101.724453125,,0.00289603921670345
2024-06-05,19035.05078125,19035.869140625,18768.25,18791.279296875,5325000000,18116.8842578125,,0.0203813562959847
2024-06-06,19021.189453125,19071.7890625,18978.859375,19053.009765625,4960580000,18133.097265625,,-0.0007282002178136127
2024-06-07,19000.94921875,19113.880859375,18958.6796875,18992.580078125,4755650000,18147.499453125,,-0.0010640887850299485
2024-06-10,19074.669921875,19089.830078125,18940.7109375,18945.310546875,5207110000,18163.8990625,,0.00387984317395329
2024-06-11,19210.1796875,19212.630859375,18966.560546875,19031.400390625,5009220000,18182.238671875,,0.007104173554772553
2024-06-12,19465.1796875,19556.900390625,19347.279296875,19358.259765625,5560630000,18209.1066796875,,0.01327421211816815
2024-06-13,19576.919921875,19639.44921875,19473.7109375,19609.05078125,4916020000,18237.4412890625,,0.005740519027767066
2024-06-14,19659.80078125,19664.58984375,19534.619140625,19557.220703125,4973820000,18273.06171875,,0.004233600571782903
2024-06-17,19902.75,19977.83984375,19623.7109375,19681.859375,6061200000,18308.9475,,0.012357664324946116
2024-06-18,19908.859375,19940.5,19837.859375,19904.4296875,5796180000,18345.1208984375,16919.5596875,0.000306961349562318
2024-06-20,19752.30078125,19979.9296875,19685.029296875,19962.970703125,6289300000,18376.76890625,16940.866889648438,-0.00786376511085285
2024-06-21,19700.4296875,19801.970703125,19643.51953125,19722.369140625,8589160000,18410.544296875,16961.82783691406,-0.0026260785679832477
2024-06-24,19474.619140625,19723.19921875,19472.529296875,19648.23046875,5503210000,18433.8770703125,16982.34373046875,-0.011462214299735707
2024-06-25,19701.130859375,19712.419921875,19523.509765625,19555.83984375,4848280000,18467.8298828125,17004.556787109374,0.011631124445329322
2024-06-26,19751.05078125,19763.55078125,19654.1796875,19671.0703125,5294310000,18508.714296875,17026.910888671875,0.0025338607327327622
2024-06-27,19789.029296875,19850.810546875,19701.33984375,19740.51953125,5382060000,18550.2216796875,17048.546684570312,0.0019228605123660092
2024-06-28,19682.869140625,20017.7109375,19665.849609375,19817.0,8960940000,18594.0066796875,17070.512329101562,-0.0053645964467172735
2024-07-01,19812.220703125,19827.75,19577.5390625,19720.109375,5189990000,18642.3648828125,17092.83078125,0.006571783898772221
2024-07-02,20011.890625,20014.919921875,19741.810546875,19746.220703125,4526550000,18701.8496875,17115.520786132813,0.010078119200615632
2024-07-03,20186.630859375,20186.630859375,19995.279296875,19995.279296875,3713960000,18761.3644921875,17140.441938476564,0.008731820378665489
2024-07-05,20391.970703125,20407.0,20201.5,20224.130859375,4851000000,18819.7744921875,17166.27494140625,0.010172071069236344
2024-07-08,20439.5390625,20455.380859375,20363.369140625,20393.890625,5286260000,18878.0292578125,17192.516484375,0.002332700456837644
2024-07-09,20453.01953125,20543.900390625,20395.5703125,20504.169921875,4839140000,18938.4796484375,17219.931982421876,0.00065952899959143
2024-07-10,20675.380859375,20690.970703125,20479.939453125,20533.26953125,5228240000,18997.62125,17249.837685546874,0.01087180930841325
2024-07-11,20211.359375,20672.099609375,20165.0,20661.41015625,6366620000,19046.1940234375,17277.388984375,-0.022443189198354974
2024-07-12,20331.490234375,20526.080078125,20217.990234375,20226.23046875,5845930000,19104.0100390625,17305.20193359375,0.0059437298177773545
2024-07-15,20386.880859375,20585.169921875,20304.529296875,20401.01953125,5450350000,19165.376640625,17334.4071875,0.002724376047278154
2024-07-16,20398.619140625,20477.0,20266.509765625,20441.529296875,5812930000,19222.5182421875,17363.499482421874,0.0005757762225113705
2024-07-17,19799.140625,20080.26953125,19793.75,20041.310546875,6007280000,19260.6850390625,17388.981337890626,-0.029388191009023013
2024-07-18,19705.08984375,19947.98046875,19575.7890625,19936.240234375,5977260000,19292.9154296875,17413.9305859375,-0.0047502456309261865
2024-07-19,19522.619140625,19784.48046875,19479.380859375,19687.80078125,4992930000,19321.538828125,17437.355830078126,-0.00926007973431675
2024-07-22,19822.869140625,19861.720703125,19638.369140625,19751.01953125,5093620000,19356.296015625,17463.642075195312,0.015379596243580096
2024-07-23,19754.33984375,19904.599609375,19736.220703125,19783.330078125,4938000000,19389.11359375,17488.532524414062,-0.0034570826447396508
2024-07-24,19032.390625,19482.55078125,19005.470703125,19475.66015625,6735560000,19406.5378125,17510.07837890625,-0.036546360164924185
2024-07-25,18830.580078125,19227.19921875,18721.7109375,19041.150390625,6114350000,19419.1772265625,17529.365078125,-0.010603531151252787
2024-07-26,19023.66015625,19142.6796875,18899.310546875,18990.19921875,5281560000,19433.1950390625,17549.247626953125,0.010253538516813654
2024-07-29,19059.490234375,19224.58984375,18974.509765625,19122.4296875,4897230000,19442.4518359375,17568.88748046875,0.0018834481814073989
2024-07-30,18796.26953125,19165.419921875,18667.220703125,19129.560546875,5564310000,19447.2180078125,17586.663227539062,-0.013810479707912937
2024-07-31,19362.4296875,19426.619140625,19162.91015625,19222.849609375,6292560000,19463.5419921875,17607.554877929688,0.030120878789736683
2024-08-01,18890.390625,19538.970703125,18737.08984375,19375.970703125,6664550000,19467.866015625,17627.03123046875,-0.024379123390941948
2024-08-02,18440.849609375,18628.779296875,18263.5,18494.240234375,6313870000,19462.4069921875,17643.371826171875,-0.023797338263088497
2024-08-05,17895.16015625,18169.490234375,17435.390625,17444.400390625,6852190000,19446.2062109375,17657.237578125,-0.02959134013259246
2024-08-06,18077.919921875,18368.6796875,17858.8203125,17961.44921875,5908930000,19435.296796875,17673.08087890625,0.01021280413414849
2024-08-07,17867.369140625,18445.75,17851.080078125,18345.44921875,5913620000,19416.4771875,17688.502075195312,-0.011646847765667157
2024-08-08,18413.8203125,18445.41015625,17965.0703125,18102.05078125,5815880000,19407.3648046875,17707.76677734375,0.03058375117087242
